player_id,player_name,season,PA,SO,K%,BB%,Whiff%,Swing%,xwOBA,xBA,xSLG,Hard-Hit%,Barrel%,average_swing_speed,fast_swing_rate,swords,squared_up_contact,pitch_type,pitch_name,pitch_usage,Pitches,PutAway%,BA,SLG,wOBA,run_value_per_100,source,source_timestamp,schema_version,refresh_status
592332,"Gausman, Kevin",2026.0,609.0,143.0,23.5,6.6,27.4,50.3,0.31,0.251,0.406,39.3,7.3,72.1,26.7,20.0,30.3,FF,4-Seam Fastball,50.8,1228,18.5,0.304,0.464,0.358,0.5,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
694819,"Misiorowski, Jacob",2026.0,527.0,210.0,39.8,5.9,38.1,51.8,0.216,0.165,0.245,33.6,3.2,71.4,23.2,29.0,25.1,FF,4-Seam Fastball,63.9,1331,34.5,0.175,0.275,0.25,1.7,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671096,"Abbott, Andrew",2026.0,604.0,108.0,17.9,10.9,22.4,46.6,0.331,0.256,0.415,38.2,7.7,72.6,29.4,25.0,30.9,FF,4-Seam Fastball,44.9,1079,12.3,0.249,0.418,0.374,-0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
663903,"Singer, Brady",2026.0,557.0,104.0,18.7,7.5,25.1,44.4,0.343,0.271,0.447,40.5,9.2,72.3,30.6,12.0,38.6,SI,Sinker,48.7,1056,19.5,0.279,0.442,0.364,-0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
650911,"Sánchez, Cristopher",2026.0,673.0,187.0,27.8,5.6,32.8,50.0,0.284,0.237,0.358,41.8,7.2,72.6,29.6,19.0,35.5,SI,Sinker,43.6,1080,20.2,0.336,0.466,0.386,0.0,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
695505,"Burns, Chase",2026.0,548.0,159.0,29.0,8.8,31.7,49.0,0.27,0.202,0.331,36.9,7.6,72.2,28.0,28.0,28.8,FF,4-Seam Fastball,56.4,1262,14.1,0.24,0.374,0.328,0.6,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
642547,"Peralta, Freddy",2026.0,573.0,123.0,21.5,9.2,26.4,47.1,0.312,0.242,0.383,39.4,6.1,71.8,23.9,21.0,30.5,FF,4-Seam Fastball,53.5,1251,16.5,0.282,0.471,0.377,-0.4,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
671737,"Bradley, Taj",2026.0,599.0,158.0,26.4,10.4,26.0,47.1,0.307,0.226,0.377,44.9,9.3,72.2,28.8,29.0,31.7,FF,4-Seam Fastball,46.6,1127,18.3,0.24,0.421,0.351,0.4,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
664285,"Valdez, Framber",2026.0,613.0,111.0,18.1,8.8,20.6,46.3,0.324,0.258,0.391,43.7,6.2,72.3,29.1,23.0,38.1,SI,Sinker,45.0,999,15.1,0.308,0.424,0.366,0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
672282,"Detmers, Reid",2026.0,579.0,167.0,28.8,7.4,29.6,49.2,0.283,0.214,0.363,38.2,8.3,72.0,26.2,33.0,33.5,FF,4-Seam Fastball,45.7,1056,17.2,0.226,0.407,0.307,0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
669022,"Gore, MacKenzie",2026.0,597.0,154.0,25.8,8.5,26.3,49.6,0.304,0.236,0.378,42.0,8.8,72.6,31.4,21.0,27.8,FF,4-Seam Fastball,46.4,1099,20.5,0.248,0.389,0.317,1.0,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
650911,"Sánchez, Cristopher",2026.0,673.0,187.0,27.8,5.6,32.8,50.0,0.284,0.237,0.358,41.8,7.2,72.6,29.6,19.0,35.5,CH,Changeup,37.4,926,29.3,0.177,0.255,0.218,1.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
680736,"Wrobleski, Justin",2026.0,516.0,100.0,19.4,5.4,20.0,50.1,0.331,0.27,0.448,43.9,9.4,72.6,31.6,7.0,35.1,FF,4-Seam Fastball,49.6,943,22.0,0.187,0.326,0.261,1.4,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
693433,"Woo, Bryan",2026.0,563.0,137.0,24.3,5.2,24.8,53.4,0.293,0.237,0.383,43.3,6.9,72.1,26.1,13.0,31.4,FF,4-Seam Fastball,47.2,1000,17.2,0.233,0.37,0.289,1.4,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
693645,"Schlittler, Cam",2026.0,602.0,189.0,31.4,5.6,28.8,52.7,0.266,0.21,0.34,40.1,8.1,71.8,26.1,27.0,27.0,FF,4-Seam Fastball,44.3,1056,27.0,0.184,0.305,0.244,1.6,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_ARSENAL_SCHEMA_V1,CURRENT
