"last_name, first_name",player_id,year,pa,strikeout,k_percent,bb_percent,whiff_percent,swing_percent,xwoba,xba,xslg,hard_hit_percent,barrel_batted_rate,avg_swing_speed,fast_swing_rate,swords,squared_up_contact,woba
"Payamps, Joel",606303,2026,36,9,25.0,11.1,22.9,46.4,0.377,0.252,0.548,39.1,17.4,71.4,19.0,0.0,28.8,0.404
"Smith, Shane",681343,2026,49,11,22.4,18.4,26.0,42.7,0.332,0.246,0.293,33.3,0.0,71.6,19.4,10.0,29.8,0.423
"Burke, Brock",656271,2026,262,62,23.7,13.0,28.8,45.7,0.297,0.213,0.341,30.1,7.7,71.9,26.0,7.0,30.3,0.288
"Vesia, Alex",681911,2026,190,58,30.5,15.8,34.6,46.7,0.275,0.177,0.29,37.3,5.9,71.7,24.1,11.0,27.6,0.252
"Ribalta, Orlando",687377,2026,151,33,21.9,9.3,25.8,50.5,0.298,0.214,0.391,34.6,7.7,72.0,26.9,5.0,26.1,0.28
"Blach, Ty",621389,2026,9,2,22.2,0.0,28.6,46.7,0.269,0.292,0.338,57.1,0.0,69.0,15.4,0.0,60.0,0.099
"Rodriguez, Grayson",680570,2026,271,55,20.3,10.3,24.1,48.3,0.379,0.288,0.505,48.6,10.9,72.4,29.1,8.0,32.2,0.374
"Stewart, Brock",592779,2026,58,16,27.6,8.6,30.6,48.7,0.214,0.157,0.236,21.6,2.7,71.8,23.8,1.0,23.9,0.199
"Kerry, Brett",695049,2026,54,12,22.2,3.7,26.7,49.5,0.27,0.231,0.361,42.5,5.0,72.7,33.7,2.0,36.4,0.269
"Romero, JoJo",668941,2026,186,43,23.1,8.6,23.6,39.9,0.337,0.262,0.433,43.1,8.2,71.7,23.6,8.0,42.8,0.313
"Rodriguez, Bradgley",699134,2026,231,60,26.0,7.4,28.9,50.7,0.226,0.181,0.263,28.6,2.6,72.6,32.4,3.0,25.5,0.253
"Duran, Jhoan",661395,2026,181,63,34.8,4.4,35.6,51.7,0.231,0.2,0.26,41.1,2.9,71.5,21.2,14.0,27.8,0.247
"King, Bryan",687911,2026,228,43,18.9,8.3,18.5,49.5,0.305,0.243,0.363,37.3,5.7,71.4,19.3,8.0,30.2,0.325
"Fried, Max",608331,2026,332,79,23.8,8.1,24.6,45.4,0.248,0.2,0.264,31.3,1.8,71.7,22.4,10.0,30.3,0.24
"Curry, Xzavion",675540,2026,67,10,14.9,10.4,20.2,45.2,0.277,0.203,0.332,34.0,6.0,73.5,38.3,0.0,35.3,0.31
"Richardson, Lyon",680689,2026,16,4,25.0,18.8,32.0,36.8,0.478,0.23,0.727,25.0,28.6,72.0,21.7,1.0,25.0,0.432
"Strahm, Matt",621381,2026,161,30,18.6,8.7,23.2,49.8,0.316,0.225,0.428,39.1,11.3,72.0,24.9,3.0,31.9,0.388
"Gausman, Kevin",592332,2026,609,143,23.5,6.6,27.4,50.3,0.31,0.251,0.406,39.3,7.3,72.1,26.7,20.0,30.3,0.316
"Adams, Travis",701519,2026,174,46,26.4,9.8,27.5,47.7,0.309,0.229,0.399,30.6,8.2,71.8,26.7,6.0,30.6,0.334
"Warren, Austin",681810,2026,160,39,24.4,11.3,26.9,40.5,0.344,0.256,0.428,42.0,13.3,72.2,26.5,9.0,32.6,0.343
"Kent, Jackson",800600,2026,41,9,22.0,19.5,17.9,41.4,0.377,0.283,0.412,50.0,4.2,72.5,31.7,1.0,31.4,0.421
"Baz, Shane",669358,2026,623,132,21.2,7.9,22.5,49.1,0.312,0.252,0.396,42.8,6.8,72.0,26.7,25.0,35.2,0.316
"Orze, Eric",679358,2026,189,36,19.0,11.1,21.8,43.4,0.313,0.253,0.367,29.2,7.0,72.0,29.4,2.0,33.7,0.318
"Littell, Zack",641793,2026,519,72,13.9,7.1,16.5,50.1,0.376,0.293,0.524,43.7,10.6,72.6,31.5,11.0,36.5,0.351
"Solesky, Chase",686678,2026,17,4,23.5,5.9,9.1,37.9,0.353,0.291,0.488,33.3,8.3,73.9,45.0,0.0,38.9,0.467
"Waldron, Matt",663362,2026,169,31,18.3,5.9,16.8,48.2,0.3,0.237,0.39,38.1,6.3,71.3,23.0,3.0,37.2,0.391
"Zerpa, Angel",672582,2026,55,8,14.5,10.9,17.8,41.7,0.405,0.328,0.53,51.2,7.3,71.6,21.1,2.0,41.3,0.405
"Patrick, Chad",694477,2026,359,78,21.7,9.5,26.1,49.2,0.309,0.242,0.383,37.1,6.1,72.3,27.7,8.0,29.3,0.297
"Avila, Luinder",679883,2026,309,61,19.7,13.6,23.9,42.4,0.339,0.251,0.396,35.3,5.9,72.0,23.7,12.0,28.4,0.355
"Fuentes, Didier",800311,2026,223,70,31.4,6.7,30.4,52.9,0.274,0.221,0.344,37.5,6.7,71.9,24.9,8.0,24.7,0.266
"Pannone, Thomas",623381,2026,14,2,14.3,14.3,10.7,50.0,0.4,0.316,0.507,30.0,10.0,70.2,11.5,0.0,30.4,0.373
"Lavender, Nate",681320,2026,21,8,38.1,9.5,35.0,54.8,0.164,0.085,0.171,36.4,9.1,71.7,29.7,0.0,25.0,0.126
"Sasaki, Roki",808963,2026,493,114,23.1,9.3,29.7,50.2,0.317,0.242,0.4,43.9,9.8,72.0,27.3,25.0,31.6,0.338
"Keller, Brad",641745,2026,135,32,23.7,9.6,22.5,45.0,0.284,0.226,0.313,31.8,4.6,71.1,20.4,7.0,28.2,0.309
"Speier, Gabe",642100,2026,140,29,20.7,9.3,22.9,50.8,0.313,0.226,0.395,36.6,9.8,71.2,19.8,6.0,29.5,0.298
"Sale, Chris",519242,2026,517,160,30.9,5.4,30.0,50.5,0.272,0.223,0.33,34.5,5.6,71.1,20.7,14.0,29.4,0.26
"Granillo, Andre",701552,2026,50,3,6.0,16.0,9.5,37.4,0.394,0.295,0.44,39.5,13.2,71.7,29.9,0.0,45.0,0.427
"Matthews, Zebby",805673,2026,410,81,19.8,7.6,21.3,46.6,0.332,0.257,0.44,42.7,11.6,72.5,31.5,7.0,38.1,0.343
"Warren, Will",701542,2026,535,122,22.8,8.0,22.4,43.8,0.332,0.266,0.427,43.7,8.0,72.6,30.5,15.0,37.6,0.342
"Velasquez, Vince",592826,2026,11,1,9.1,0.0,14.3,48.8,0.154,0.151,0.199,30.0,0.0,71.3,25.0,1.0,33.3,0.115
"Herget, Jimmy",623474,2026,169,36,21.3,11.8,27.0,46.8,0.328,0.244,0.41,36.9,9.9,72.4,27.0,7.0,31.3,0.375
"Slaten, Justin",686580,2026,137,39,28.5,5.8,25.2,50.8,0.266,0.223,0.332,36.7,4.4,71.8,26.9,7.0,26.7,0.323
"Gerber, Joey",680702,2026,34,8,23.5,11.8,23.5,39.5,0.309,0.23,0.373,54.5,9.1,72.8,29.8,0.0,41.7,0.306
"Kikuchi, Yusei",579328,2026,142,33,23.2,9.9,25.9,48.3,0.34,0.258,0.446,42.6,8.5,72.7,30.0,5.0,31.2,0.346
"Thompson, Ryan",657044,2026,186,29,15.6,7.0,19.2,48.6,0.311,0.275,0.381,34.0,4.3,72.3,29.3,4.0,34.8,0.345
"Varland, Gus",681402,2026,151,30,19.9,9.9,21.6,49.9,0.4,0.303,0.579,50.0,16.2,72.1,29.7,3.0,39.1,0.411
"Javier, Cristian",664299,2026,167,30,18.0,10.2,25.7,51.8,0.357,0.278,0.452,38.1,8.5,72.4,30.6,3.0,30.2,0.38
"Lord, Brad",695418,2026,269,57,21.2,9.3,20.5,49.8,0.32,0.243,0.389,40.6,6.2,71.2,20.7,10.0,24.9,0.293
"Ashby, Aaron",676879,2026,303,97,32.0,11.2,32.3,41.1,0.268,0.204,0.289,39.4,4.7,72.0,23.5,21.0,31.0,0.294
"Drake, Kohl",684442,2026,77,13,16.9,7.8,21.5,44.3,0.43,0.317,0.625,49.1,16.4,73.0,38.4,3.0,36.6,0.397
"Mautz, Brycen",802408,2026,14,2,14.3,14.3,17.4,39.0,0.316,0.249,0.339,20.0,0.0,71.9,19.0,0.0,33.3,0.38
"Sears, JP",676664,2026,143,25,17.5,7.7,20.7,47.4,0.345,0.263,0.441,45.2,8.7,72.2,30.6,3.0,38.4,0.328
"Fairbanks, Pete",664126,2026,166,54,32.5,9.6,32.1,46.2,0.317,0.21,0.43,44.1,13.0,71.1,19.6,7.0,31.7,0.328
"Sugano, Tomoyuki",608372,2026,498,69,13.9,5.4,18.2,46.2,0.395,0.312,0.57,43.8,13.5,73.3,33.0,13.0,37.9,0.353
"Hernández, Jonathan",642546,2026,109,22,20.2,11.9,19.9,43.8,0.32,0.255,0.389,40.5,5.5,72.9,29.8,2.0,29.5,0.303
"Kahnle, Tommy",592454,2026,43,5,11.6,14.0,17.4,51.2,0.381,0.285,0.489,56.3,15.6,72.7,34.6,0.0,36.5,0.434
"Natera Jr., Samy",696519,2026,104,42,40.4,9.6,37.3,47.6,0.219,0.147,0.231,31.4,5.9,72.5,27.6,4.0,20.6,0.214
"Bassitt, Chris",605135,2026,309,46,14.9,8.4,20.9,45.8,0.344,0.286,0.411,35.8,4.4,71.2,22.7,5.0,36.7,0.361
"Ritchie, JR",702275,2026,256,53,20.7,14.1,23.3,41.1,0.344,0.24,0.408,39.5,9.3,72.4,28.6,9.0,34.9,0.324
"Paredes, Mike",702474,2026,154,19,12.3,8.4,19.3,49.7,0.349,0.279,0.446,50.8,6.8,72.5,30.4,2.0,39.3,0.352
"Cleavinger, Garrett",664076,2026,157,48,30.6,10.8,29.3,47.5,0.309,0.235,0.378,41.1,7.8,72.5,30.4,9.0,27.6,0.317
"Williams, Gavin",668909,2026,597,190,31.8,7.5,31.2,49.6,0.305,0.228,0.41,47.6,11.7,71.5,20.8,37.0,31.5,0.291
"Urquidy, José",664353,2026,71,17,23.9,2.8,27.3,51.0,0.257,0.226,0.346,34.6,7.8,71.3,17.7,2.0,40.5,0.359
"Anderson, Jack",681252,2026,48,12,25.0,6.3,30.5,52.8,0.301,0.23,0.418,36.4,9.1,71.7,23.8,2.0,30.4,0.269
"Matz, Steven",571927,2026,282,49,17.4,7.4,21.1,47.3,0.352,0.278,0.48,35.2,12.4,71.8,25.0,6.0,33.7,0.339
"Kinley, Tyler",641755,2026,179,42,23.5,11.2,28.0,44.0,0.287,0.203,0.364,28.7,7.9,70.9,17.7,7.0,32.0,0.324
"Eder, Jake",671109,2026,15,1,6.7,6.7,9.1,58.9,0.459,0.363,0.746,69.2,30.8,70.2,22.6,0.0,39.3,0.249
"Ferrer, José A.",678606,2026,229,43,18.8,6.1,19.8,51.0,0.294,0.238,0.368,35.9,6.0,71.2,21.6,6.0,30.7,0.321
"Weston, Cameron",687721,2026,3,1,33.3,33.3,12.5,47.1,0.381,0.241,0.262,100.0,0.0,69.5,0.0,0.0,16.7,0.233
"Herrera, Welinton",700327,2026,10,2,20.0,10.0,19.0,46.7,0.333,0.288,0.387,57.1,0.0,71.2,23.8,0.0,35.3,0.248
"Glasnow, Tyler",607192,2026,148,49,33.1,8.8,29.8,43.1,0.252,0.18,0.324,38.4,8.1,71.7,25.9,9.0,38.2,0.235
"Irvin, Jake",663623,2026,313,72,23.0,9.9,24.0,46.7,0.35,0.247,0.461,43.8,12.3,72.3,26.3,7.0,30.6,0.333
"Rodriguez, Eduardo",593958,2026,613,106,17.3,7.7,20.6,48.0,0.333,0.266,0.443,35.2,8.3,72.6,29.8,14.0,32.1,0.299
"Yean, Eddy",678868,2026,39,6,15.4,5.1,15.2,47.1,0.257,0.211,0.296,33.3,3.3,72.8,30.6,1.0,29.6,0.227
"Hall, DL",669084,2026,162,41,25.3,17.3,27.8,39.9,0.292,0.195,0.28,31.5,5.5,70.9,20.8,5.0,31.8,0.263
"Fulmer, Michael",605242,2026,11,4,36.4,9.1,33.3,41.9,0.337,0.353,0.418,16.7,0.0,72.1,35.7,1.0,30.0,0.178
"Gasser, Robert",688107,2026,314,68,21.7,6.1,22.2,50.7,0.316,0.251,0.408,34.1,6.8,72.4,29.2,5.0,27.6,0.334
"Woodruff, Brandon",605540,2026,174,47,27.0,5.7,23.6,51.0,0.263,0.2,0.358,34.5,7.8,72.4,27.2,3.0,29.4,0.231
"Smith, Cade",671922,2026,229,79,34.5,7.9,34.3,48.9,0.274,0.205,0.343,45.7,9.2,70.9,16.8,13.0,33.5,0.26
"Griffin, Foster",656492,2026,589,131,22.2,5.9,23.7,48.3,0.315,0.252,0.418,38.1,9.2,72.5,31.6,23.0,29.4,0.301
"O'Brien, Riley",676617,2026,214,53,24.8,9.3,27.0,43.7,0.319,0.234,0.363,39.7,6.9,72.0,24.6,13.0,30.5,0.264
"Gil, Luis",661563,2026,85,9,10.6,12.9,18.5,38.6,0.385,0.262,0.498,46.8,9.7,72.3,32.5,0.0,45.9,0.368
"Herget, Kevin",643361,2026,3,0,0.0,0.0,0.0,45.5,0.128,0.125,0.178,33.3,0.0,73.4,40.0,0.0,60.0,0.0
"Rajcic, Max",691008,2026,39,8,20.5,15.4,23.9,41.1,0.281,0.168,0.318,36.0,8.0,72.7,23.0,1.0,27.7,0.311
"Scott, Tanner",656945,2026,197,63,32.0,5.6,35.7,55.8,0.272,0.233,0.354,33.6,7.4,72.1,26.3,20.0,27.6,0.241
"Wacha, Michael",608379,2026,632,120,19.0,6.5,21.1,48.5,0.314,0.25,0.417,37.1,7.1,71.5,24.2,13.0,36.5,0.309
"Gibson, Cade",806188,2026,163,30,18.4,10.4,21.5,44.4,0.307,0.25,0.321,39.1,2.7,71.1,24.8,4.0,33.7,0.337
"Macko, Adam",671936,2026,99,23,23.2,10.1,32.8,46.5,0.338,0.258,0.435,34.9,6.3,72.4,26.8,2.0,33.9,0.34
"Teng, Kai-Wei",678906,2026,301,67,22.3,10.0,25.2,44.1,0.334,0.245,0.398,39.4,7.8,71.9,23.8,13.0,36.5,0.335
"Vanasco, Ricky",676568,2026,40,4,10.0,15.0,20.6,40.0,0.399,0.294,0.519,43.3,6.7,71.0,19.7,1.0,37.5,0.511
"Beeks, Jalen",656222,2026,113,21,18.6,7.1,23.4,47.2,0.363,0.282,0.522,42.9,10.7,72.4,30.9,3.0,42.1,0.351
"Thielbar, Caleb",573204,2026,164,47,28.7,7.9,28.1,51.3,0.327,0.238,0.465,39.8,11.8,72.1,27.2,12.0,27.5,0.34
"Wicks, Jordan",696136,2026,50,8,16.0,4.0,23.9,51.1,0.322,0.283,0.408,43.6,7.7,72.9,31.7,2.0,35.9,0.422
"Skubal, Tarik",669373,2026,446,135,30.3,4.5,31.9,53.6,0.27,0.226,0.343,36.4,7.3,71.7,22.7,16.0,28.8,0.268
"Ober, Bailey",641927,2026,435,71,16.3,6.0,19.6,48.8,0.333,0.257,0.467,35.5,10.1,72.9,32.2,8.0,34.5,0.324
"Blanco, Ronel",669854,2026,101,20,19.8,11.9,25.8,50.8,0.354,0.246,0.469,36.8,11.8,71.7,22.5,3.0,31.5,0.386
"Topa, Justin",623437,2026,92,12,13.0,12.0,14.1,43.5,0.376,0.291,0.491,45.6,9.1,71.8,23.3,1.0,34.8,0.415
