pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-08-19,95.5,0.64,6.53,"Suárez, Eugenio",553993,669461,strikeout,swinging_strike,,,,,12.0,Eugenio Suárez strikes out swinging.,R,R,L,CIN,STL,S,2.0,,2,2,2026,0.45,1.4,0.0512456983488922,4.023728140429199,,,,2,6,Bot,,,,,,,-2.5838025993574125,-139.02436428454612,-3.993217509953464,6.4617553478311125,32.12024682310362,-13.365318558627283,3.17085794,1.600246063,,,,95.9,2100.0,6.6,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.93,,0.0,0.0,1.0,0.0,0.0,,49,5,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Strategic,153.0,-0.009,-0.221,69.0,6.8,0.589534884,,0.221,,1,1,0.701,0.701,26,34,27,35,3,2,,,,,1.1,0.45,-0.45,,15.845285989287367,18.749081973911995,28.805161176514957,35.463702419661146,19.601760112800854
CU,2026-08-19,79.4,0.78,6.46,"Suárez, Eugenio",553993,669461,,ball,,,,,13.0,,R,R,L,CIN,STL,B,,,1,2,2026,-0.88,-1.48,-0.7836647652415982,0.4839356002148971,,,,2,6,Bot,,,,,,,-1.7007461053541473,-115.4883372349983,-3.0028672393160374,-7.330312871659661,27.24355795780292,-44.723464348099895,3.17085794,1.600246063,,,,78.9,3065.0,6.6,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.94,,,,,,,,49,4,Curveball,3,2,3,2,2,3,3,2,Standard,Strategic,328.0,0.001,0.041,,,,,-0.041,,1,1,0.7,0.7,26,34,27,35,3,2,,,,,5.18,-0.88,0.88,,,,,,
SL,2026-08-19,86.4,1.08,5.35,"Cavanaugh, Drew",701852,800048,strikeout,swinging_strike,,,,,13.0,Drew Cavanaugh strikes out swinging.,R,L,L,CLE,SF,S,2.0,,1,2,2026,-0.61,0.5,-1.0588975111855548,1.1821602360883654,,,808982.0,1,7,Top,,,,,,,-3.784702095555817,-125.83152051381715,-4.569866805364739,-5.775155187702744,24.585604328910577,-26.20160164389607,3.203330053,1.616633858,,,,87.2,2428.0,6.7,824394,595978,663993,683953,694197,677587,680757,690984,682657,53.82,,0.0,0.0,1.0,0.0,0.0,,48,6,Slider,0,1,1,0,1,0,1,0,Infield shade,Standard,213.0,0.022,-0.176,65.2,7.9,0.846412056,,0.176,,-1,1,0.316,0.6839999999999999,25,24,26,24,3,2,,,,,2.54,-0.61,-0.61,,22.42111056508543,-10.09096822801511,38.16309831826724,46.54988663999968,38.9366920511177
SL,2026-08-19,87.4,0.74,6.43,"Suárez, Eugenio",553993,669461,,ball,,,,,13.0,,R,R,L,CIN,STL,B,,,0,2,2026,-0.46,0.07,-1.585871156229865,1.9171142250605864,,,,2,6,Bot,,,,,,,-4.576980655493867,-127.1620951139109,-4.647611506687818,-4.065103591454771,25.69581570376892,-30.65173200494219,3.17085794,1.600246063,,,,87.8,2794.0,6.5,824476,699625,676475,802139,691458,691026,695491,701675,691023,53.97,,,,,,,,49,3,Slider,3,2,3,2,2,3,3,2,Standard,Strategic,290.0,0.001,0.025,,,,,-0.025,,1,1,0.699,0.699,26,34,27,35,3,2,,,,,2.91,-0.46,0.46,,,,,,
FC,2026-08-19,89.8,2.69,5.51,"Perdomo, Geraldo",672695,801139,field_out,hit_into_play,,,,,4.0,Geraldo Perdomo lines out to second baseman Nick Sogard.,R,R,L,BOS,AZ,X,4.0,line_drive,1,2,2026,-0.35,0.69,-0.4296157182758198,2.3192742299627938,,672515.0,,2,5,Top,126.9,140.86,,,,,-6.991104482073804,-130.6632921472891,-3.294293829558441,-2.6606328835468145,25.14022707464048,-23.758221396391463,3.31742126,1.674212598,151.0,65.5,16.0,91.8,2540.0,7.3,824722,657136,575929,686765,702332,655316,680776,678882,677800,53.21,0.3,0.27,0.0,1.0,0.0,0.0,2.0,37,5,Cutter,2,3,3,2,3,2,3,2,Standard,Standard,155.0,0.026,-0.189,68.9,6.6,,0.322,0.189,88.0,-1,1,0.389,0.611,23,26,24,27,3,2,,,,,2.12,-0.35,0.35,,-3.399540845155861,3.856005000525924,39.56118624259172,27.938661600574896,23.50454907085175
SI,2026-08-19,92.0,1.05,5.29,"Cavanaugh, Drew",701852,800048,,foul,,,,,9.0,,R,L,L,CLE,SF,S,,,1,2,2026,1.22,0.84,0.6433592858814281,1.7084681969937343,,,808982.0,1,7,Top,,,,,,,-3.7457342415921415,-133.9358503985148,-4.916649258389568,15.50650155252226,28.08313662915704,-21.26077223922968,3.203330053,1.616633858,5.0,76.4,-20.0,92.7,2148.0,6.6,824394,595978,663993,683953,694197,677587,680757,690984,682657,53.9,,,,,,,,48,5,Sinker,0,1,1,0,1,0,1,0,Infield shade,Standard,145.0,0.0,0.0,71.0,7.4,,,0.0,88.0,-1,1,0.316,0.6839999999999999,25,24,26,24,3,2,,,,,1.85,1.22,1.22,,15.88209104779528,-13.085597216769694,46.312439929077165,27.166981868874505,32.95266217833056
SI,2026-08-19,94.3,2.87,5.42,"Perdomo, Geraldo",672695,801139,,foul,,,,,14.0,,R,R,L,BOS,AZ,S,,,1,2,2026,1.22,0.7,1.0680834056638042,1.7744675287509732,,672515.0,,2,5,Top,,,,,,,-7.517055628514812,-137.1906914824974,-5.279001270548624,17.034802331055836,27.230973141540414,-22.403901767608914,3.31742126,1.674212598,192.0,69.1,26.0,96.3,2263.0,7.2,824722,657136,575929,686765,702332,655316,680776,678882,677800,53.26,,,,,,,,37,4,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,132.0,0.0,0.0,65.7,7.0,,,0.0,88.0,-1,1,0.389,0.611,23,26,24,27,3,2,,,,,1.85,1.22,-1.22,,-4.984092232228594,12.031383568411265,39.92469146777782,45.21570661854578,17.370612697130568
FF,2026-08-19,94.5,0.56,6.56,"Suárez, Eugenio",553993,669461,,called_strike,,,,,5.0,,R,R,L,CIN,STL,S,,,0,1,2026,0.67,1.32,-0.0337916126725751,2.204039610041721,,,,2,6,Bot,,,,,,,-3.0640198710694984,-137.41166665008922,-8.375696288740766,9.186425922326592,32.80894841114967,-13.812539875389657,3.17085794,1.600246063,,,,94.4,2125.0,6.5,824476,699625,676475,802139,691458,691026,695491,701675,691023,54.05,,,,,,,,49,2,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Strategic,154.0,-0.002,-0.062,,,,,0.062,,1,1,0.701,0.701,26,34,27,35,3,2,,,,,1.26,0.67,-0.67,,,,,,
CU,2026-08-19,78.2,0.86,6.57,"Suárez, Eugenio",553993,669461,,called_strike,,,,,3.0,,R,R,L,CIN,STL,S,,,0,0,2026,-0.82,-1.37,0.5375518630265205,2.796180390466441,,,,2,6,Bot,,,,,,,0.8640633453141856,-113.76580032255607,1.708701410897886,-7.201565278990474,25.517132281371147,-44.50586540047045,3.17085794,1.600246063,,,,77.6,2989.0,6.4,824476,699625,676475,802139,691458,691026,695491,701675,691023,54.09,,,,,,,,49,1,Curveball,3,2,3,2,2,3,3,2,Standard,Strategic,330.0,-0.002,-0.043,,,,,0.043,,1,1,0.703,0.703,26,34,27,35,3,2,,,,,5.17,-0.82,0.82,,,,,,
SI,2026-08-19,95.3,2.71,5.53,"Perdomo, Geraldo",672695,801139,,foul,,,,,3.0,,R,R,L,BOS,AZ,S,,,1,1,2026,1.13,0.91,0.7010328626386209,3.2587956446024817,,672515.0,,2,5,Top,,,,,,,-7.971131429657942,-138.64359301041023,-2.294620790735553,16.373680367305266,29.70213780484908,-20.04562225067817,3.31742126,1.674212598,264.0,81.5,35.0,97.3,2159.0,7.4,824722,657136,575929,686765,702332,655316,680776,678882,677800,53.13,,,,,,,,37,3,Sinker,2,3,3,2,3,2,3,2,Standard,Standard,139.0,0.009,-0.07,59.7,5.6,,,0.07,88.0,-1,1,0.38,0.62,23,26,24,27,3,2,,,,,1.59,1.13,-1.13,,-4.822739801813813,29.153183075518232,29.59598262112033,40.03340187254659,17.5858970900684
