pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-08-19,91.1,-1.3,6.37,"Walker, Jordan",691023,695505,strikeout,swinging_strike,,,,,14.0,Jordan Walker strikes out swinging.,R,R,R,CIN,STL,S,2.0,,0,2,2026,0.16,0.24,1.195619257562678,1.8642758352039288,802139.0,,676475.0,2,5,Top,,,,,,,5.842939574428943,-132.56228689685526,-5.75106618541893,0.8301076817168904,25.46427927829762,-28.441845367488973,3.461351706,1.746850394,,,,91.7,2791.0,6.4,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.08,,0.0,0.0,1.0,0.0,0.0,,35,5,Slider,0,2,2,0,2,0,2,0,Standard,Standard,107.0,0.024,-0.205,61.8,8.4,0.546537612,,0.205,,-2,2,0.265,0.735,23,24,23,24,3,2,,,,,2.49,-0.16,-0.16,,-6.847594342504033,-1.252477366726699,23.71060684720298,56.08532691892022,20.894931287204194
SL,2026-08-19,90.0,-1.4,6.37,"Walker, Jordan",691023,695505,,foul,,,,,14.0,,R,R,R,CIN,STL,S,,,0,2,2026,0.34,0.01,0.9649005482767946,1.783561289491983,802139.0,,676475.0,2,5,Top,,,,,,,5.069685430251171,-130.99268637898112,-5.239395461643473,2.967035622554835,25.326975810027637,-31.20675314771305,3.461351706,1.746850394,1.0,77.5,-59.0,90.6,2774.0,6.5,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.05,,,,,,,,35,4,Slider,0,2,2,0,2,0,2,0,Standard,Standard,84.0,0.0,0.0,71.0,8.3,,,0.0,88.0,-2,2,0.265,0.735,23,24,23,24,3,2,,,,,2.78,-0.34,-0.34,,-1.4197522160194875,4.606677455673288,27.0090217492865,55.36232317446991,25.351608443482093
FF,2026-08-19,98.8,-0.86,6.48,"Walker, Jordan",691023,695505,,foul,,,,,12.0,,R,R,R,CIN,STL,S,,,0,2,2026,0.14,1.58,0.8336805847016702,3.4313511161469687,802139.0,,676475.0,2,5,Top,,,,,,,4.237781851626837,-143.65199281231696,-6.379190990293618,0.8557662258203593,35.00514216263429,-9.003256139552397,3.461351706,1.746850394,,,,98.8,2619.0,6.4,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.06,,,,,,,,35,3,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,189.0,0.0,0.0,77.0,7.9,,,0.0,,-2,2,0.265,0.735,23,24,23,24,3,2,,,,,0.77,-0.14,-0.14,,1.4556958928831785,6.46209457057973,18.759411849325744,52.36647753442398,19.540099494129382
FF,2026-08-19,98.3,-1.16,6.52,"Walker, Jordan",691023,695505,,foul,,,,,11.0,,R,R,R,CIN,STL,S,,,0,1,2026,-0.13,1.35,-0.3080626077265895,3.746649602927322,802139.0,,676475.0,2,5,Top,,,,,,,2.607301410210753,-143.2001533677962,-5.061719841619002,-2.411724112097261,32.33061395407032,-12.687038366295262,3.461351706,1.746850394,237.0,76.4,29.0,98.6,2643.0,6.4,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.14,,,,,,,,35,2,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,196.0,0.01,-0.047,83.6,6.7,,,0.047,88.0,-2,2,0.255,0.745,23,24,23,24,3,2,,,,,1.0,0.13,0.13,,-11.27202860882719,12.343421823843952,28.06439110882303,37.062182905021615,19.078779330127773
SL,2026-08-19,86.9,-3.22,5.53,"Robert Jr., Luis",673357,650633,walk,ball,,,,,14.0,Luis Robert Jr. walks. Francisco Alvarez to 2nd.,R,R,R,NYM,SD,B,,,3,1,2026,0.24,0.23,1.0958324286265897,1.9794008237732543,,,682626.0,2,7,Bot,,,,,,,9.64501699280102,-126.32519235246504,-2.625373266946335,0.8362626167740959,22.547499184071,-29.40784733619376,3.310400263,1.670669291,,,,86.8,2623.0,6.0,823587,669134,664034,630105,650859,823550,687749,701538,665487,54.48,,0.697785,0.7,1.0,0.0,0.0,,53,5,Slider,2,1,2,1,1,2,2,1,Standard,Standard,84.0,0.011,0.13,,,,,-0.13,,1,1,0.772,0.772,31,28,31,29,3,0,,,,,2.77,-0.24,-0.24,,,,,,
FF,2026-08-19,96.7,-1.23,5.85,"Yelich, Christian",592885,669302,walk,ball,,,,,13.0,Christian Yelich walks. William Contreras to 2nd.,R,L,R,MIL,SEA,B,,,3,2,2026,-0.74,1.48,-1.434407070844845,2.194316017830673,,,661388.0,0,6,Bot,,,,,,,1.221795513077455,-140.7252144175093,-7.603935581816072,-10.04757944508926,32.82462343818692,-11.040363498473557,3.368323491,1.699901575,,,,99.7,2228.0,8.0,823748,663728,647304,702284,680977,801126,668227,677594,686527,52.48,,0.697785,0.7,1.0,0.0,0.0,,53,7,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,211.0,0.036,0.345,,,,,-0.345,,-5,-5,0.087,0.087,29,34,29,35,3,2,,,,,0.97,0.74,-0.74,,,,,,
KC,2026-08-19,79.0,-1.8,5.2,"Mack, Joe",691788,605400,strikeout,swinging_strike,,,,,14.0,Joe Mack strikes out swinging.,R,L,R,PHI,MIA,S,2.0,,2,2,2026,1.32,-0.92,0.8826812384355558,0.652700907927807,,,,2,7,Top,,,,,,,3.2666957795984803,-114.98793187969116,-1.0829173774683114,11.076291666412644,22.37730230804889,-40.344498728081454,3.220882546,1.625492126,,,,79.2,2755.0,6.5,823424,596117,664761,650333,681082,607208,669016,702222,547180,53.99,,0.0,0.0,1.0,0.0,0.0,,52,6,Knuckle Curve,3,1,1,3,1,3,1,3,Infield shade,Standard,52.0,0.012,-0.221,72.1,8.5,8.823651396,,0.221,,2,-2,0.875,0.125,33,23,33,24,3,2,,,,,4.59,-1.32,1.32,,27.1500274633399,-45.98230686572655,41.065748588367946,28.386538485025824,58.406650988873146
FF,2026-08-19,97.6,-1.17,6.52,"Walker, Jordan",691023,695505,,swinging_strike,,,,,11.0,,R,R,R,CIN,STL,S,,,0,0,2026,-0.2,1.3,-0.7108284202941342,3.972694976985875,802139.0,,676475.0,2,5,Top,,,,,,,1.676700260811952,-142.16229535708578,-4.229655042764208,-3.0396176484031274,32.976487828227654,-13.757410539413137,3.461351706,1.746850394,,,,97.6,2608.0,6.3,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.24,,,,,,,,35,1,4-Seam Fastball,0,2,2,0,2,0,2,0,Standard,Standard,193.0,0.006,-0.029,75.8,6.8,0.800420472,,0.029,,-2,2,0.249,0.751,23,24,23,24,3,2,,,,,1.09,0.2,0.2,,0.5307770784730205,15.90789527133379,21.52935184412196,34.165678161363324,18.135918806238
FF,2026-08-19,96.5,-1.3,6.41,"Burleson, Alec",676475,695505,single,hit_into_play,,,,,2.0,Alec Burleson singles on a ground ball to right fielder Michael Toglia. JJ Wetherholt to 3rd.,R,L,R,CIN,STL,X,9.0,ground_ball,2,1,2026,-0.07,1.53,-0.2626479592930952,2.7960561785608102,,,802139.0,2,5,Top,185.76,111.14,,,,,2.880127097885247,-140.33647730748677,-7.361047204587375,-1.5985001137518953,31.892862192055645,-10.484998066499584,3.215616798,1.622834646,14.0,97.0,-11.0,96.6,2526.0,6.4,824476,624431,701398,680574,553993,682829,668709,667472,669911,54.1,0.163,0.152,0.9,1.0,1.0,0.0,2.0,34,4,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shade,Standard,199.0,-0.019,0.308,77.6,8.0,,0.188,-0.308,97.0,-2,2,0.268,0.732,23,27,23,28,3,2,,,,,0.92,0.07,-0.07,,17.888200882014576,-6.493232017419455,27.39820554439455,32.37128772993414,36.71752983708497
SL,2026-08-19,88.2,-1.8,6.24,"Rumfield, TJ",681198,808963,field_out,hit_into_play,,,,,13.0,TJ Rumfield grounds out to first baseman Freddie Freeman.,R,L,R,COL,LAD,X,3.0,ground_ball,1,2,2026,0.06,-0.03,-0.6080401258326661,1.3680421638940057,,,694249.0,2,5,Bot,148.26,172.46,,,,,2.7590774787626557,-128.41418814169938,-5.572223496922687,0.1736243626481685,23.837880614125897,-31.636332849517743,3.422736221,1.727362205,14.0,65.7,-5.0,89.8,2093.0,7.0,824318,666163,518692,500743,571771,605141,606192,681624,663656,53.49,0.046,0.041,0.0,1.0,0.0,0.0,2.0,47,5,Slider,2,4,2,4,4,2,2,4,Infield shade,Standard,87.0,-0.022,-0.195,,,,0.047,0.195,88.0,-2,-2,0.243,0.243,24,26,25,26,3,2,,,,,2.93,-0.06,0.06,,,,,,
SI,2026-08-19,94.2,-3.3,5.46,"Robert Jr., Luis",673357,650633,,called_strike,,,,,1.0,,R,R,R,NYM,SD,S,,,3,0,2026,-1.66,0.41,-0.7088860665549477,2.8133379478971365,,,682626.0,2,7,Bot,,,,,,,10.315296566589952,-136.7568765336589,-1.8744134064190503,-23.143402526323328,30.17681697879575,-26.80554887515489,3.310400263,1.670669291,,,,93.5,2349.0,6.0,823587,669134,664034,630105,650859,823550,687749,701538,665487,54.47,,,,,,,,53,4,Sinker,2,1,2,1,1,2,2,1,Standard,Standard,228.0,-0.004,-0.065,,,,,0.065,,1,1,0.776,0.776,31,28,31,29,3,0,,,,,2.17,1.66,1.66,,,,,,
FF,2026-08-19,97.1,-1.36,5.92,"Yelich, Christian",592885,669302,,foul,,,,,3.0,,R,L,R,MIL,SEA,S,,,3,2,2026,-0.59,1.34,0.4835791909381395,2.8870865057731856,,,661388.0,0,6,Bot,,,,,,,6.438407825708267,-141.2547490181456,-5.65727167507943,-9.400139580518418,32.79403458588657,-13.073583363651055,3.368323491,1.699901575,189.0,67.3,32.0,99.8,2375.0,7.8,823748,663728,647304,702284,680977,801126,668227,677594,686527,52.69,,,,,,,,53,6,4-Seam Fastball,2,7,2,7,7,2,2,7,Standard,Standard,212.0,0.0,0.0,65.2,6.6,,,0.0,88.0,-5,-5,0.087,0.087,29,34,29,35,3,2,,,,,1.08,0.59,-0.59,,-2.6821680850926803,22.962190933486436,41.88063834362471,32.054857676825,15.7569470499528
