player_id,player_name,season,PA,SO,K%,BB%,Whiff%,Swing%,xwOBA,xBA,xSLG,Hard-Hit%,Barrel%,average_swing_speed,fast_swing_rate,swords,squared_up_contact,wOBA,source,source_timestamp,schema_version,refresh_status
669743,"Call, Alex",2026,154,26,16.9,11.7,16.2,42.9,0.276,0.211,0.268,17.9,1.9,66.6,3.9,4.0,29.8,0.315,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
681909,"Dean, Justin",2026,10,4,40.0,20.0,33.3,56.8,0.345,0.266,0.324,50.0,0.0,66.6,0.0,0.0,21.4,0.477,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
686668,"Doyle, Brenton",2026,161,49,30.4,7.5,30.4,52.5,0.238,0.192,0.272,33.0,5.2,72.1,15.8,7.0,29.2,0.257,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
663330,"Jones, Jahmai",2026,131,42,32.1,9.2,35.1,49.7,0.315,0.237,0.402,44.7,9.2,73.2,33.3,3.0,31.5,0.285,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
641598,"Garver, Mitch",2026,149,49,32.9,14.8,33.7,41.3,0.301,0.194,0.341,48.1,9.1,72.5,18.8,8.0,33.5,0.278,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
646240,"Devers, Rafael",2026,533,141,26.5,9.8,29.2,48.3,0.321,0.228,0.437,50.7,10.7,71.8,20.9,11.0,34.3,0.338,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
622761,"Mateo, Jorge",2026,143,42,29.4,5.6,30.3,55.7,0.324,0.261,0.447,45.2,10.8,73.8,35.8,9.0,26.9,0.3,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
805249,"Kemp, Otto",2026,27,10,37.0,3.7,37.9,48.3,0.205,0.162,0.221,13.3,0.0,71.4,15.7,1.0,25.0,0.119,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
672279,"Siani, Michael",2026,1,0,0.0,0.0,0.0,25.0,0.292,0.302,0.353,0.0,0.0,73.5,0.0,0.0,100.0,0.0,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
656775,"Mullins, Cedric",2026,417,84,20.1,8.2,23.0,49.9,0.259,0.188,0.306,31.7,3.8,70.8,7.8,8.0,32.0,0.286,BASEBALL_SAVANT_CURRENT_SEASON,2026-08-20T23:43:02.137578+00:00,SAVANT_BATTER_PROFILE_SCHEMA_V1,CURRENT
